model,metric,split,size,value
Kriging,rmse,test,0.2,7.257192706531451
Kriging,mae,cross,0.2,11.728395061663889
Kriging,rmse,cross,0.2,12.013904628890934
Ensemble,mae,test,0.2,7.368919339913269
Ensemble,rmse,test,0.2,9.67629930185931
Ensemble,mae,cross,0.2,5.049364217116093
Ensemble,rmse,cross,0.2,6.967073213423173
LinReg,mae,test,0.3,4.3393887942596905
LinReg,rmse,test,0.3,5.890861723661076
MLP,mae,test,0.3,2.7165908813476562
MLP,rmse,test,0.3,5.807133793672108
MLP,mae,cross,0.3,4.646732330322266
MLP,rmse,cross,0.3,6.36447762857921
IDW,mae,test,0.3,3.2367070804092464
IDW,rmse,test,0.3,5.987796183371634
IDW,mae,cross,0.3,10.959138122149994
IDW,rmse,cross,0.3,11.35591439539808
Kriging,mae,test,0.3,3.932203389833802
Kriging,rmse,test,0.3,6.511329965202938
Kriging,mae,cross,0.3,12.067796610165473
Kriging,rmse,cross,0.3,12.315907876723164
Ensemble,mae,test,0.3,5.010097728375442
Ensemble,rmse,test,0.3,7.417398543988382
Ensemble,mae,cross,0.3,4.323091125773587
Ensemble,rmse,cross,0.3,6.401076857001816
LinReg,mae,test,0.4,3.1440691370606686
LinReg,rmse,test,0.4,7.450100199111177
MLP,mae,test,0.4,2.5478057861328125
MLP,rmse,test,0.4,7.238859079463006
MLP,mae,cross,0.4,3.987823486328125
MLP,rmse,cross,0.4,5.170965811126883
IDW,mae,test,0.4,2.7841372078074755
IDW,rmse,test,0.4,7.6620141726142235
IDW,mae,cross,0.4,10.14722370204123
IDW,rmse,cross,0.4,10.617703705723992
Kriging,mae,test,0.4,3.302631578921492
Kriging,rmse,test,0.4,8.118575267823621
Kriging,mae,cross,0.4,11.302631578921492
Kriging,rmse,cross,0.4,11.637970500870297
Ensemble,mae,test,0.4,4.025261558080601
Ensemble,rmse,test,0.4,8.093324431509593
Ensemble,mae,cross,0.4,4.9698555570071505
Ensemble,rmse,cross,0.4,6.621402452654522
LinReg,mae,test,0.5,4.7297088349653365
LinReg,rmse,test,0.5,8.220354424041792
MLP,mae,test,0.5,1.6211166381835938
MLP,rmse,test,0.5,6.828916370016266
MLP,mae,cross,0.5,11.66180419921875
MLP,rmse,cross,0.5,12.048324542216164
IDW,mae,test,0.5,3.6842968520867885
IDW,rmse,test,0.5,7.429739642906357
IDW,mae,cross,0.5,9.366832887961692
IDW,rmse,cross,0.5,9.918210113106324
Kriging,mae,test,0.5,3.38339920946531
Kriging,rmse,test,0.5,7.756659195594637
Kriging,mae,cross,0.5,10.61660079053469
Kriging,rmse,cross,0.5,11.03984477378919
Ensemble,mae,test,0.5,5.179636759274388
Ensemble,rmse,test,0.5,8.322673006407031
Ensemble,mae,cross,0.5,4.629582123038809
Ensemble,rmse,cross,0.5,6.72198349553486
LinReg,mae,test,0.1,5.071309290304043
LinReg,rmse,test,0.1,8.308449400029888
MLP,mae,test,0.1,4.242637634277344
MLP,rmse,test,0.1,8.001022459052646
MLP,mae,cross,0.1,10.246097564697266
MLP,rmse,cross,0.1,11.844648956443725
IDW,mae,test,0.1,4.713554249074193
IDW,rmse,test,0.1,8.618253483194053
IDW,mae,cross,0.1,11.182757719396221
IDW,rmse,cross,0.1,11.578589077866852
Kriging,mae,test,0.1,3.9035087720369575
Kriging,rmse,test,0.1,9.069298352940589
Kriging,mae,cross,0.1,12.096491227963043
Kriging,rmse,cross,0.1,12.341529773511507
Ensemble,mae,test,0.1,7.505856376044974
Ensemble,rmse,test,0.1,10.810121629156013
Ensemble,mae,cross,0.1,7.187252338569351
Ensemble,rmse,cross,0.1,9.877166781241622
LinReg,mae,test,0.2,3.1396527838701402
LinReg,rmse,test,0.2,6.610751091684961
MLP,mae,test,0.2,2.5070114135742188
MLP,rmse,test,0.2,6.13773159997675
MLP,mae,cross,0.2,3.5876312255859375
MLP,rmse,cross,0.2,5.729028008528299
IDW,mae,test,0.2,3.0410956102082523
IDW,rmse,test,0.2,6.5645511511100905
IDW,mae,cross,0.2,10.768955613211546
IDW,rmse,cross,0.2,11.191747931385782
Kriging,mae,test,0.2,4.271604938336111
Kriging,rmse,test,0.2,7.257192706531451
Kriging,mae,cross,0.2,11.728395061663889
Kriging,rmse,cross,0.2,12.013904628890934
Ensemble,mae,test,0.2,7.368919339913269
Ensemble,rmse,test,0.2,9.67629930185931
Ensemble,mae,cross,0.2,5.049364217116093
Ensemble,rmse,cross,0.2,6.967073213423173
LinReg,mae,test,0.3,4.3393887942596905
LinReg,rmse,test,0.3,5.890861723661076
MLP,mae,test,0.3,2.8262405395507812
MLP,rmse,test,0.3,5.641766442762023
MLP,mae,cross,0.3,3.825439453125
MLP,rmse,cross,0.3,5.30166635328113
IDW,mae,test,0.3,3.2367070804092464
IDW,rmse,test,0.3,5.987796183371634
IDW,mae,cross,0.3,10.959138122149994
IDW,rmse,cross,0.3,11.35591439539808
Kriging,mae,test,0.3,3.932203389833802
Kriging,rmse,test,0.3,6.511329965202938
Kriging,mae,cross,0.3,12.067796610165473
Kriging,rmse,cross,0.3,12.315907876723164
Ensemble,mae,test,0.3,5.010097728375442
Ensemble,rmse,test,0.3,7.417398543988382
Ensemble,mae,cross,0.3,4.323091125773587
Ensemble,rmse,cross,0.3,6.401076857001816
LinReg,mae,test,0.4,3.1440691370606686
LinReg,rmse,test,0.4,7.450100199111177
MLP,mae,test,0.4,2.5631256103515625
MLP,rmse,test,0.4,7.514380079874859
MLP,mae,cross,0.4,3.2555923461914062
MLP,rmse,cross,0.4,5.250187210629782
IDW,mae,test,0.4,2.7841372078074755
IDW,rmse,test,0.4,7.6620141726142235
IDW,mae,cross,0.4,10.14722370204123
IDW,rmse,cross,0.4,10.617703705723992
Kriging,mae,test,0.4,3.302631578921492
Kriging,rmse,test,0.4,8.118575267823621
Kriging,mae,cross,0.4,11.302631578921492
Kriging,rmse,cross,0.4,11.637970500870297
Ensemble,mae,test,0.4,4.025261558080601
Ensemble,rmse,test,0.4,8.093324431509593
Ensemble,mae,cross,0.4,4.9698555570071505
Ensemble,rmse,cross,0.4,6.621402452654522
LinReg,mae,test,0.5,4.7297088349653365
LinReg,rmse,test,0.5,8.220354424041792
MLP,mae,test,0.5,2.1108551025390625
MLP,rmse,test,0.5,7.591848126706042
MLP,mae,cross,0.5,2.8526229858398438
MLP,rmse,cross,0.5,4.477153579437738
IDW,mae,test,0.5,3.6842968520867885
IDW,rmse,test,0.5,7.429739642906357
IDW,mae,cross,0.5,9.366832887961692
IDW,rmse,cross,0.5,9.918210113106324
Kriging,mae,test,0.5,3.38339920946531
Kriging,rmse,test,0.5,7.756659195594637
Kriging,mae,cross,0.5,10.61660079053469
Kriging,rmse,cross,0.5,11.03984477378919
Ensemble,mae,test,0.5,5.179636759274388
Ensemble,rmse,test,0.5,8.322673006407031
Ensemble,mae,cross,0.5,4.629582123038809
Ensemble,rmse,cross,0.5,6.72198349553486
LinReg,mae,test,0.1,5.071309290304043
LinReg,rmse,test,0.1,8.308449400029888
MLP,mae,test,0.1,3.5078353881835938
MLP,rmse,test,0.1,8.026506956857654
MLP,mae,cross,0.1,3.3818435668945312
MLP,rmse,cross,0.1,6.1933504320024255
IDW,mae,test,0.1,4.713554249074193
IDW,rmse,test,0.1,8.618253483194053
IDW,mae,cross,0.1,11.182757719396221
IDW,rmse,cross,0.1,11.578589077866852
Kriging,mae,test,0.1,3.9035087720369575
Kriging,rmse,test,0.1,9.069298352940589
Kriging,mae,cross,0.1,12.096491227963043
Kriging,rmse,cross,0.1,12.341529773511507
Ensemble,mae,test,0.1,7.505856376044974
Ensemble,rmse,test,0.1,10.810121629156013
Ensemble,mae,cross,0.1,7.187252338569351
Ensemble,rmse,cross,0.1,9.877166781241622
LinReg,mae,test,0.2,3.1396527838701402
LinReg,rmse,test,0.2,6.610751091684961
MLP,mae,test,0.2,2.0218238830566406
MLP,rmse,test,0.2,5.809769672355859
MLP,mae,cross,0.2,3.08697509765625
MLP,rmse,cross,0.2,5.566749580120612
IDW,mae,test,0.2,3.0410956102082523
IDW,rmse,test,0.2,6.5645511511100905
IDW,mae,cross,0.2,10.768955613211546
IDW,rmse,cross,0.2,11.191747931385782
Kriging,mae,test,0.2,4.271604938336111
Kriging,rmse,test,0.2,7.257192706531451
Kriging,mae,cross,0.2,11.728395061663889
Kriging,rmse,cross,0.2,12.013904628890934
Ensemble,mae,test,0.2,7.368919339913269
Ensemble,rmse,test,0.2,9.67629930185931
Ensemble,mae,cross,0.2,5.049364217116093
Ensemble,rmse,cross,0.2,6.967073213423173
LinReg,mae,test,0.3,4.3393887942596905
LinReg,rmse,test,0.3,5.890861723661076
MLP,mae,test,0.3,3.122100830078125
MLP,rmse,test,0.3,5.9162751263792215
MLP,mae,cross,0.3,10.374374389648438
MLP,rmse,cross,0.3,11.009385173748477
IDW,mae,test,0.3,3.2367070804092464
IDW,rmse,test,0.3,5.987796183371634
IDW,mae,cross,0.3,10.959138122149994
IDW,rmse,cross,0.3,11.35591439539808
Kriging,mae,test,0.3,3.932203389833802
Kriging,rmse,test,0.3,6.511329965202938
Kriging,mae,cross,0.3,12.067796610165473
Kriging,rmse,cross,0.3,12.315907876723164
Ensemble,mae,test,0.3,5.010097728375442
Ensemble,rmse,test,0.3,7.417398543988382
Ensemble,mae,cross,0.3,4.323091125773587
Ensemble,rmse,cross,0.3,6.401076857001816
LinReg,mae,test,0.4,3.1440691370606686
LinReg,rmse,test,0.4,7.450100199111177
MLP,mae,test,0.4,2.5370330810546875
MLP,rmse,test,0.4,7.31381666922908
MLP,mae,cross,0.4,2.7901535034179688
MLP,rmse,cross,0.4,4.912758626591857
IDW,mae,test,0.4,2.7841372078074755
IDW,rmse,test,0.4,7.6620141726142235
IDW,mae,cross,0.4,10.14722370204123
IDW,rmse,cross,0.4,10.617703705723992
Kriging,mae,test,0.4,3.302631578921492
Kriging,rmse,test,0.4,8.118575267823621
Kriging,mae,cross,0.4,11.302631578921492
Kriging,rmse,cross,0.4,11.637970500870297
Ensemble,mae,test,0.4,4.025261558080601
